y,Authors (year),Authors complete,Title,Journal/ Conference proceedings,Publication year,Publisher,NLP technology / approach,TA technique coding,Data source,Data source coding,Functionality,Functionality coding,Public service value,Public service value coding,Public value_specified,Public value_specified coding,Co-creation phase,Co-creation phase coding,Co-creation mechanism,Co-creation mechanism coding,Public service,Problem addressed,Public service_specified,Public service coding,Benefit,Country beneficiary,Research method,Stakeholders,,,,,
P59,Chen (2020),"Chen, Yi Ting",Chatbots for smart customer services on official museum websites,Lecture Notes in Electrical Engineering,2020,Springer,Chatbot,TA2. Chatbot,User generated (text or speech),DS1. User generated (text or speech),Question answering,F3. Question answering,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,increased efficiency; better contact with public administration; enhance the use of digitalization; time saving for the authorities; happier customer; better services; personalized service delivery; increase in number of services delivered;,EV1. Increased efficiency; EV3. Easier to contact with public service; EV4. Enhance the use of digitalization and new business models; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user; CV6. Personalized service delivery; CV4. Increase in number of services delivered;,Co-design,P1. Co-design,Consulting & ideation; Informing,M1_1. Consultation and ideation; M1_2. Informing,Culture,Museum customer service,culture,PS9. Culture,Improving public services with chatbots,Taiwan,qualitative; exploratory,citizens; government agencies,,,,,
P60,Heo and Lee (2019),"Heo, Jeongyun; Lee, Jiyoon",CiSA: An inclusive chatbot service for international students and academics,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2019,Springer,Chatbot,TA2. Chatbot,User generated (text or speech),DS1. User generated (text or speech),Question answering,F3. Question answering,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,increased efficiency; better contact with public administration; enhance the use of digitalization; time saving for the authorities; happier customer; better services; personalized service delivery; increase in number of services delivered;,EV1. Increased efficiency; EV3. Easier to contact with public service; EV4. Enhance the use of digitalization and new business models; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user; CV6. Personalized service delivery; CV4. Increase in number of services delivered;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Education,Service for International Students and Academics,studying,PS6. Education,Improving public services with chatbots,n.a.,qualitative; conceptual modeling; prototyping; secodary data,citizens; academic institutions; technology companies,,,,,
P61,van Noordt and Misuraca (2019),"van Noordt, Colin; Misuraca, Gianluca",New wine in old bottles: chatbots in government: exploring the transformative impact of chatbots in public service delivery,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2019,Springer,Chatbot,TA2. Chatbot,User generated (text or speech),DS1. User generated (text or speech),Question answering,F3. Question answering,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,increased efficiency; better contact with public administration; enhance the use of digitalization; time saving for the authorities; happier customer; better services; personalized service delivery; increase in number of services delivered;,EV1. Increased efficiency; EV3. Easier to contact with public service; EV4. Enhance the use of digitalization and new business models; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user; CV6. Personalized service delivery; CV4. Increase in number of services delivered;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,eGovernment,"Improving, changing and restructuring public service delivery",generic (civic public services),Generic,Improving public services with chatbots,"Latvia, Austria, Germany",qualitative; exploratory; literature review,citizens; government agencies,,,,,
P62,Petriv et al. (2020),"Petriv, Yulia; Erlenheim, Regina; Tsap, Valentyna; Pappel, Ingrid; Draheim, Dirk",Designing effective chatbot solutions for the public sector: A case study from Ukraine,Communications in Computer and Information Science,2020,Springer,Chatbot,TA2. Chatbot,User generated (text or speech),DS1. User generated (text or speech),Question answering,F3. Question answering,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,increased efficiency; better contact with public administration; enhance the use of digitalization; time saving for the authorities; happier customer; better services; personalized service delivery; increase in number of services delivered;,EV1. Increased efficiency; EV3. Easier to contact with public service; EV4. Enhance the use of digitalization and new business models; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user; CV6. Personalized service delivery; CV4. Increase in number of services delivered;,Co-design,P1. Co-design,Consulting & ideation; Informing,M1_1. Consultation and ideation; M1_2. Informing,Smart City,Improving the design and performance of chatbots in public sector,generic (civic public services),Generic,Improving public services with chatbots,Ukraine,qualitative; exploratory; interviews;,citizens; government agencies,,,,,
P63,Salem et al. (2018),"Salem, Santiago; Ojo, Adegboyega; Estevez, Elsa; Fillottrani, Pablo R.",Towards a cognitive linked public service cloud,IFIP Advances in Information and Communication Technology,2018,Springer,Ontologies; semantic networks; linked data,TA5. Semantic Web and Linked Data,Survey,DS3. Open-ended question survey,Linking services across linked public service clouds,F7. Information retrieval assistance,economic value; administrative value; societal value; citizen value,EV. Economic value; AV. Administrative value; SV. Societal value; CV. Citizen value,increased efficiency; time saving for the authorities; common platform; better data coherence among different authorities; data sharing among different authorities;,EV1. Increased efficiency; EV2. Time-saving for the authorities and businesses,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Smart City,Linking services across linked public service clouds associated with different public administrations,Welfare Public Service,PS10. Welfare,Improving public services,n.a.,qualitative; conceptual modeling; prototyping;,citizens; government agencies,,,,,
P64,"Bai, Lv, and Wang (2019)","Bai, Xinping; Lv, Zhongliang; Wang, Hui",Research on natural language processing and aspose technology in the automatic generation of ocean weather public report,Lecture Notes in Electrical Engineering,2019,Springer,Text content analysis; feature extraction; natural language processing,TA1. Machine learning; TA8. Information extraction,Government database (ocean weather public reports),DS5. Government database/OGD,Automation of content analysis and extraction; automatic generation of reports,F1. Automatic content analysis and extraction; F8. Automatic content generation,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,increased efficiency; time saving for the authorities; happier customer; better services;,EV1. Increased efficiency; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user; better services;,Co-design; co-evaluation,P1. Co-design; P3. Co-evaluation,Informing; Open book government,M1_2. Informing; M3_2. Participatory open data,Weather forecasting,Automatic generation of ocean weather public report,weather,PS11. Weather,Automatic ocean weather reporting,China,qualitative; conceptual modeling; prototyping; case study,citizens; government agencies,,,,,
P65,Gillani and Ko (2014),"Gillani, Saira Andleeb; Ko, Andrea",Process-based knowledge extraction in a public authority: A text mining approach,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2014,Springer,Keyword extraction; association rules; ontologies; keyword matching,TA1. Machine learning; TA8. Information extraction; TA5. Semantic Web and Linked Data,Organizational documents,DS8. Organizational documents,Automation of content analysis and extraction;,F1. Automatic content analysis and extraction; F7. Information retrieval assistance,economic value;,EV. Economic value,increased efficiency; time saving for the authorities;,EV1. Increased efficiency; EV2. Time-saving for the authorities and businesses;,Co-design; co-delivery,P1. Co-design; P2. Co-delivery,Informing; crowd-sourcing,M1_2. Informing; M2_1. Crowdsourcing,Agriculture,"Enriching the organizational knowledge base of a public authority, supporting employees to easily acquire their job role specific knowledge",Public services,Generic,Supporting public servants,Hungary,qualitative; conceptual modeling; prototyping,citizens; government agencies,,,,,
P66,Rao and Dey (2011),"Rao, Gadda Koteswara; Dey, Shubhamoy",Text mining based decision support system (TMbDSS) for e-governance: A roadmap for India,Communications in Computer and Information Science,2011,Springer,Association rules; summarization; clustering; categorization; social networks; sentiment; question answering,TA1. Machine learning; TA3. Sentiment analysis; TA5. Semantic Web and Linked Data; TA8. Information extraction,Social Media (electronic online forums),DS2. Social media,Automation of content analysis and extraction;,F1. Automatic content analysis and extraction; F4. Extracting meaning from user requests/complaints/opinion,economic value;,EV. Economic value,time saving for the authorities; increased efficiency;,EV2. Time-saving for the authorities and businesses; EV1. Increased efficiency;,Co-design,P1. Co-design,Informing,M1_2. Informing,Policy making,"Assisting policy makers in discovering associations between existing policies, proposed policies and citizens' opinions expressed in electronic public forums.",generic (civic public services),PS4. Policy-making,e-governance decision support,India,qualitative; conceptual modeling; case study; secondary data,citizens; government agencies,,,,,
P67,"Flores, Pavan, and Paraboni (2022)","Flores, Arthur Marçal; Pavan, Matheus Camasmie; Paraboni, Ivandré",User profiling and satisfaction inference in public information access services,Journal of Intelligent Information Systems,2022,Springer,Text classification; pre-trained language models; bidirectional long short-term memory networks (LSTMs); pre-trained context-sensitive embeddings (BERT),TA1. Machine learning; TA7. Artificial Neural Networks,User requests,DS6. User complaint/request,Automation of content analysis and extraction; identification of customer profiles; identificaiton of customer satisfaction,F1. Automatic content analysis and extraction; F2. Patterns identification; F4. Extracting meaning from user requests/complaints/opinion; F5. Measuring user satisfaction,economic value;,EV. Economic value,time saving for the authorities; increased efficiency;,EV2. Time-saving for the authorities and businesses; EV1. Increased efficiency;,Co-evaluation,P3. Co-evaluation,Citizen reporting,M3_1. Citizen reporting,Generic,Analyzing citizen-government communication for user profiling and satisfaction inference tasks,generic (civic public services),Generic,Improving customer satisfaction,n.a.,quantitative; secondary data; computer modeling,citizens; government agencies;,,,,,
P68,Baur (2017),"Baur, Aaron W.","Harnessing the social web to enhance insights into people's opinions in business, government and public administration",Information Systems Frontiers,2017,Springer,Ontologies; sentiment; entity extraction; relation extraction,TA3. Sentiment analysis; TA5. Semantic Web and Linked Data; TA8. Information extraction,Social Media,DS2. Social media,Automation of content analysis and extraction;,F1. Automatic content analysis and extraction; F4. Extracting meaning from user requests/complaints/opinion; F5. Measuring user satisfaction,economic value;,EV. Economic value,time saving for the authorities; increased efficiency;,EV2. Time-saving for the authorities and businesses; EV1. Increased efficiency;,Co-design; co-evaluation,P1. Co-design; P3. Co-evaluation,Consulting & ideation; Informing; Citizen reporting,M1_1. Consultation and ideation; M1_2. Informing; M3_1. Citizen reporting,Generic,"Improving the utilization of multi-language, multi-source social media content in public sector",Transport,PS3. Transport,"Multilingual support, improving customer satisfaction",n.a.,qualitative; conceptual modeling; prototyping; secondary data,citizens; government agencies; private sector companies,,,,,
P69,Bayrak (2022),"Bayrak, Tuncay",A comparative analysis of the world's constitutions: a text mining approach,Social Network Analysis and Mining,2022,Springer,Topic modeling; clustering,TA1. Machine learning; TA4. Topic modeling,Government websites,DS4. Government website/platform,Automation of content analysis and extraction; comparative analysis of constitutions,F1. Automatic content analysis and extraction; F7. Information retrieval assistance,societal value; citizen value,SV. Societal value; CV. Citizen value,increase trust in public sector; transparency,SV2. Increase trust in public service; CV1. Transparency,Co-design,P1. Co-design,Informing,M1_2. Informing,Politics,Gaining a better understanding of how various countries’ constitutions define and guaran- tee the fundamental rights of their citizens,justice,PS2. Justice,Understanding of how various countries’ constitutions define and guarantee the fundamental rights of their citizens,"North America, Europe, Asia, Middle East, Africa",quantitative; secondary data; computer modeling,citizens; government agencies; private sector companies,,,,,
P70,"Nirala, Singh, and Purani (2022)","Nirala, Krishna Kumar; Singh, Nikhil Kumar; Purani, Vinay Shivshanker",A survey on providing customer and public administration based services using AI: chatbot,Multimedia Tools and Applications,2022,Springer,Chatbot,TA2. Chatbot,Research papers,DS7. Research papers,Question answering;,F3. Question answering,economic value; administrative value; societal value; citizen value,EV. Economic value; AV. Administrative value; SV. Societal value; CV. Citizen value,less government expenditure; less human resources; increased efficiency; better contact with public administration; enhance the use of digitalization and new business models; time saving for the authorities and businesses; easier business compliance with rules and regulation; personalized public service; single line of communication; increase trust in the public sector; happier customer; better services due to quality standards; personalized service delivery; increase in number of services delivered; reduction of administrative burden; transparency,EV6. Less government expenditure; EV5. Less human resources; EV1. Increased efficiency; EV3. Easier to contact with public service; EV4. Enhance the use of digitalization and new business models; EV2. Time-saving for the authorities and businesses; AV3. Easier business compliance with rules and regulations; CV6. Personalized service delivery; AV2. Single line of communication; SV2. Increase trust in public service; SV1. Satisfied public service user; CV3. Better services due to quality standards; CV4. Increase in number of services delivered; CV2. Reduction of administrative burden; CV1. Transparency,Co-design,P1. Co-design,Consulting & ideation; Informing,M1_1. Consultation and ideation; M1_2. Informing,Generic,Understanding and exploring the possibility of customer & public administration services based chatbot for providing better governance in public administration services,generic (civic public services),Generic,Improving public services with chatbots,,qualitative; exploratory; literature review,citizens; government agencies; private sector companies,,,,,
P71,Rafail and Efthimios (2020),"Rafail, Promikyridis; Efthimios, Tambouris",Knowledge graphs for public service description: the case of getting a passport in Greece,Lecture Notes in Business Information Processing,2020,Springer,Knowledge graph,TA5. Semantic Web and Linked Data,User generated (text or speech),DS1. User generated (text or speech),Question answering;,F3. Question answering,economic value; societal value; citizen value,EV. Economic value; SV. Societal value; CV. Citizen value,increased efficiency; better contact with public administration; enhance the use of digitalization; time saving for the authorities; happier customer; better services; personalized service delivery; increase in number of services delivered; reduction of administrative burden;,EV1. Increased efficiency; EV3. Easier to contact with public service; EV4. Enhance the use of digitalization and new business models; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user; CV6. Personalized service delivery; CV4. Increase in number of services delivered; CV2. Reduction of administrative burden;,Co-design,P1. Co-design,Consulting & ideation,M1_1. Consultation and ideation,Smart City,Assisting citizens in getting a passport,family,PS5. Family,Assisting citizens in getting a passport,Greece,qualitative; conceptual modeling; prototyping; case study; secondary data,citizens; government agencies;,,,,,
P72,"Lee, Lee, and Lee (2018)","Lee, Hong Joo; Lee, Minsik; Lee, Habin",Understanding public healthcare service quality from social media,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2018,Springer,Topic modelling; LDA; clustering; sentiment,TA1. Machine learning; TA3. Sentiment analysis;TA4. Topic modeling,Social Media (Twitter),DS2. Social media,Automation of content analysis and extraction;,F1. Automatic content analysis and extraction; F4. Extracting meaning from user requests/complaints/opinion,economic value; societal value;,EV. Economic value; SV. Societal value,increased efficiency; time saving for the authorities; happier customer;,EV1. Increased efficiency; EV2. Time-saving for the authorities and businesses; SV1. Satisfied public service user;,Co-evaluation,P3. Co-evaluation,Citizen reporting,M3_1. Citizen reporting,Health,Using social media to support public policy-making processes,health,PS1. Health,Improving health services,UK,quantitative; secondary data; computer modeling,citizens; government agencies;,,,,,
P73,Ojo and Rizun (2020),"Ojo, Adegboyega; Rizun, Nina",Structural and temporal topic models of feedbacks on service quality - a path to theory development?,AMCIS 2020 Proceedings,2020,AIS,Topic modelling; STM; clustering; sentiment,TA1. Machine learning; TA3. Sentiment analysis;TA4. Topic modeling,Free-text feedback,DS2. Social media,Automation of content analysis and extraction;,F1. Automatic content analysis and extraction; F4. Extracting meaning from user requests/complaints/opinion,economic value; societal value;,EV. Economic value; SV. Societal value,better services; personalized service delivery,CV6. Personalized service delivery; SV1. Satisfied public service user,Co-design; co-evaluation,P1. Co-design; P3. Co-evaluation,Informing; Citizen reporting,M1_2. Informing; M3_1. Citizen reporting,Health,Using free-text survey to support public policy-making processes,health,PS1. Health,Improving health services,Ireland,quantitative; secondary data,citizens; government agencies;,,,,,
P74,Ojo and Rizun (2021),"Ojo, Adegboyega; Rizun, Nina",Public perception of digital contact tracing app and implications for technology acceptance and use model,AMCIS 2021 Proceedings,2021,AIS,Topic modelling; STM; sentiment,TA1. Machine learning; TA3. Sentiment analysis;TA4. Topic modeling,Social Media (Twitter),DS2. Social media,Automation of content analysis and extraction;,F1. Automatic content analysis and extraction; F4. Extracting meaning from user requests/complaints/opinion,economic value; societal value;,EV. Economic value; SV. Societal value,better services; personalized service delivery,CV6. Personalized service delivery; SV1. Satisfied public service user,Co-design; co-evaluation,P1. Co-design; P3. Co-evaluation,Informing; Citizen reporting,M1_2. Informing; M3_1. Citizen reporting,Health,Using social media to support public policy-making processes,health,PS1. Health,Improving health services,,quantitative; secondary data,citizens; government agencies;,,,,,
P75,Ojo and Rizun (2021),"Ojo, Adegboyega; Rizun, Nina",What matters most to patients? On the core determinants of patient experience from free text feedback,ICIS 2021 Proceedings,2021,AIS,Topic modelling; STM; ML; SEM; sentiment,TA1. Machine learning; TA3. Sentiment analysis;TA4. Topic modeling,Free-text feedback,DS2. Social media,Automation of content analysis and extraction;,F1. Automatic content analysis and extraction; F4. Extracting meaning from user requests/complaints/opinion,economic value; societal value;,EV. Economic value; SV. Societal value,better services; personalized service delivery,CV6. Personalized service delivery; SV1. Satisfied public service user,Co-design; co-evaluation,P1. Co-design; P3. Co-evaluation,Informing; Citizen reporting,M1_2. Informing; M3_1. Citizen reporting,Health,Using free-text survey to support public policy-making processes,health,PS1. Health,Improving health services,,quantitative; secondary data,citizens; government agencies;,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
